0,ETHBTC
1,LTCBTC
2,BNBBTC
3,NEOBTC
4,QTUMETH
5,EOSETH
6,SNTETH
7,BNTETH
8,BCCBTC
9,GASBTC
10,BNBETH
11,BTCUSDT
12,ETHUSDT
13,HSRBTC
14,OAXETH
15,DNTETH
16,MCOETH
17,ICNETH
18,MCOBTC
19,WTCBTC
20,WTCETH
21,LRCBTC
22,LRCETH
23,QTUMBTC
24,YOYOBTC
25,OMGBTC
26,OMGETH
27,ZRXBTC
28,ZRXETH
29,STRATBTC
30,STRATETH
31,SNGLSBTC
32,SNGLSETH
33,BQXBTC
34,BQXETH
35,KNCBTC
36,KNCETH
37,FUNBTC
38,FUNETH
39,SNMBTC
40,SNMETH
41,NEOETH
42,IOTABTC
43,IOTAETH
44,LINKBTC
45,LINKETH
46,XVGBTC
47,XVGETH
48,SALTBTC
49,SALTETH
50,MDABTC
51,MDAETH
52,MTLBTC
53,MTLETH
54,SUBBTC
55,SUBETH
56,EOSBTC
57,SNTBTC
58,ETCETH
59,ETCBTC
60,MTHBTC
61,MTHETH
62,ENGBTC
63,ENGETH
64,DNTBTC
65,ZECBTC
66,ZECETH
67,BNTBTC
68,ASTBTC
69,ASTETH
70,DASHBTC
71,DASHETH
72,OAXBTC
73,ICNBTC
74,BTGBTC
75,BTGETH
76,EVXBTC
77,EVXETH
78,REQBTC
79,REQETH
80,VIBBTC
81,VIBETH
82,HSRETH
83,TRXBTC
84,TRXETH
85,POWRBTC
86,POWRETH
87,ARKBTC
88,ARKETH
89,YOYOETH
90,XRPBTC
91,XRPETH
92,MODBTC
93,MODETH
94,ENJBTC
95,ENJETH
96,STORJBTC
97,STORJETH
98,BNBUSDT
99,YOYOBNB
100,POWRBNB
101,KMDBTC
102,KMDETH
103,NULSBNB
104,RCNBTC
105,RCNETH
106,RCNBNB
107,NULSBTC
108,NULSETH
109,RDNBTC
110,RDNETH
111,RDNBNB
112,XMRBTC
113,XMRETH
114,DLTBNB
115,WTCBNB
116,DLTBTC
117,DLTETH
118,AMBBTC
119,AMBETH
120,AMBBNB
121,BCCETH
122,BCCUSDT
123,BCCBNB
124,BATBTC
125,BATETH
126,BATBNB
127,BCPTBTC
128,BCPTETH
129,BCPTBNB
130,ARNBTC
131,ARNETH
132,GVTBTC
133,GVTETH
134,CDTBTC
135,CDTETH
136,GXSBTC
137,GXSETH
138,NEOUSDT
139,NEOBNB
140,POEBTC
141,POEETH
142,QSPBTC
143,QSPETH
144,QSPBNB
145,BTSBTC
146,BTSETH
147,BTSBNB
148,XZCBTC
149,XZCETH
150,XZCBNB
151,LSKBTC
152,LSKETH
153,LSKBNB
154,TNTBTC
155,TNTETH
156,FUELBTC
157,FUELETH
158,MANABTC
159,MANAETH
160,BCDBTC
161,BCDETH
162,DGDBTC
163,DGDETH
164,IOTABNB
165,ADXBTC
166,ADXETH
167,ADXBNB
168,ADABTC
169,ADAETH
170,PPTBTC
171,PPTETH
172,CMTBTC
173,CMTETH
174,CMTBNB
175,XLMBTC
176,XLMETH
177,XLMBNB
178,CNDBTC
179,CNDETH
180,CNDBNB
181,LENDBTC
182,LENDETH
183,WABIBTC
184,WABIETH
185,WABIBNB
186,LTCETH
187,LTCUSDT
188,LTCBNB
189,TNBBTC
190,TNBETH
191,WAVESBTC
192,WAVESETH
193,WAVESBNB
194,GTOBTC
195,GTOETH
196,GTOBNB
197,ICXBTC
198,ICXETH
199,ICXBNB
200,OSTBTC
201,OSTETH
202,OSTBNB
203,ELFBTC
204,ELFETH
205,AIONBTC
206,AIONETH
207,AIONBNB
208,NEBLBTC
209,NEBLETH
210,NEBLBNB
211,BRDBTC
212,BRDETH
213,BRDBNB
214,MCOBNB
215,EDOBTC
216,EDOETH
217,WINGSBTC
218,WINGSETH
219,NAVBTC
220,NAVETH
221,NAVBNB
222,LUNBTC
223,LUNETH
224,TRIGBTC
225,TRIGETH
226,TRIGBNB
227,APPCBTC
228,APPCETH
229,APPCBNB
230,VIBEBTC
231,VIBEETH
232,RLCBTC
233,RLCETH
234,RLCBNB
235,INSBTC
236,INSETH
237,PIVXBTC
238,PIVXETH
239,PIVXBNB
240,IOSTBTC
241,IOSTETH
242,CHATBTC
243,CHATETH
244,STEEMBTC
245,STEEMETH
246,STEEMBNB
247,NANOBTC
248,NANOETH
249,NANOBNB
250,VIABTC
251,VIAETH
252,VIABNB
253,BLZBTC
254,BLZETH
255,BLZBNB
256,AEBTC
257,AEETH
258,AEBNB
259,RPXBTC
260,RPXETH
261,RPXBNB
262,NCASHBTC
263,NCASHETH
264,NCASHBNB
265,POABTC
266,POAETH
267,POABNB
268,ZILBTC
269,ZILETH
270,ZILBNB
271,ONTBTC
272,ONTETH
273,ONTBNB
274,STORMBTC
275,STORMETH
276,STORMBNB
277,QTUMBNB
278,QTUMUSDT
279,XEMBTC
280,XEMETH
281,XEMBNB
282,WANBTC
283,WANETH
284,WANBNB
285,WPRBTC
286,WPRETH
287,QLCBTC
288,QLCETH
289,SYSBTC
290,SYSETH
291,SYSBNB
292,QLCBNB
293,GRSBTC
294,GRSETH
295,ADAUSDT
296,ADABNB
297,CLOAKBTC
298,CLOAKETH
299,GNTBTC
300,GNTETH
301,GNTBNB
302,LOOMBTC
303,LOOMETH
304,LOOMBNB
305,XRPUSDT
306,BCNBTC
307,BCNETH
308,BCNBNB
309,REPBTC
310,REPETH
311,REPBNB
312,TUSDBTC
313,TUSDETH
314,TUSDBNB
315,ZENBTC
316,ZENETH
317,ZENBNB
318,SKYBTC
319,SKYETH
320,SKYBNB
321,EOSUSDT
322,EOSBNB
323,CVCBTC
324,CVCETH
325,CVCBNB
326,THETABTC
327,THETAETH
328,THETABNB
329,XRPBNB
330,TUSDUSDT
331,IOTAUSDT
332,XLMUSDT
333,IOTXBTC
334,IOTXETH
335,QKCBTC
336,QKCETH
337,AGIBTC
338,AGIETH
339,AGIBNB
340,NXSBTC
341,NXSETH
342,NXSBNB
343,ENJBNB
344,DATABTC
345,DATAETH
346,ONTUSDT
347,TRXUSDT
348,ETCUSDT
349,ETCBNB
350,ICXUSDT
351,SCBTC
352,SCETH
353,SCBNB
354,NPXSBTC
355,NPXSETH
356,KEYBTC
357,KEYETH
358,NASBTC
359,NASETH
360,NASBNB
361,MFTBTC
362,MFTETH
363,MFTBNB
364,DENTBTC
365,DENTETH
366,ARDRBTC
367,ARDRETH
368,ARDRBNB
369,NULSUSDT
370,HOTBTC
371,HOTETH
372,VETBTC
373,VETETH
374,VETUSDT
375,VETBNB
376,DOCKBTC
377,DOCKETH
378,POLYBTC
379,POLYBNB
